dc:identifier,dc:title,dc:subject1,is part of,dc:description,dc:date,dc:spatial,dc:language,dc:interviewee,dc:interviewer,dc:performer,dc:performer,dc:performer,dc:performer,dc:performer,dc:contributor (recordist),dc:contributor (speaker),dc:extent,dc:subject2,dc:subject3,dc:subject4,dc:subject4
C1002X0014XX-0800,"William ('Jumbo') Brightwell interview, part 10",1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:34,,,,morris bells
C1002X0014XX-1100,"William ('Jumbo') Brightwell interview, part 11",1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:15,,,,
C1002X0013XX-0200,"William ('Jumbo') Brightwell interview, part 01",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:00:59,,,,
C1002X0078XX-8800,"George Ling interview, part 02",1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: Of the Ling family of Blaxhall, Suffolk. Part 2 - Different villages didnt get on There were more fights than halfpennies. People coming back from the Ipswich lamb sales with black eyes. Constant fights with Tunstall villagers, Little Glemham people hated Blaxhall people. Going out with his friends and relatives playing mouth organs.",4/24/1971,"Croydon, London, England, UK",,"Ling, George (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:17,,,,
C1002X0078XX-9200,"George Ling interview, part 04",1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: Of the Ling family of Blaxhall, Suffolk. Part 4 - Sings one line of The wilds of Australia(The song of the thrush) [Roud Folk Song Index No. 1763], which used to be sung by Benny [?] Ling, who was also a dancer.",4/24/1971,"Croydon, London, England, UK",,"Ling, George (speaker, male)","Summers, Keith (speaker, male interviewer)",,,,,,"Summers, Keith (recordist)",,00:00:30,,,,
C1002X0078XX-9300,"George Ling interview, part 05",1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: Of the Ling family of Blaxhall, Suffolk. Part 5 - Stone picking. Left school at twelve and a half. Shilling a day, his tasks on the farm. Meant to go up to two shillings when he got to fourteen, but the farmer (Farmer Towler) refused and wanted to get a permit that would have meant his working at the lower rate until he was eighteen because of his size. He belonged to the Agricultural Union so he saw them and they took the farmer to the County Court at Exeter. He won the case so the farmer gave him a weeks notice. Got four pounds fifteen, a lot of money in those days. Got a job brick laying at Leiston works [Recording stops, probably end of tape].",4/24/1971,"Croydon, London, England, UK",,"Ling, George (speaker, male)","Summers, Keith (speaker, male interviewer)",,,,,,"Summers, Keith (recordist)",,00:01:07,,,,
C1002X0078XX-9400,"George Ling interview, part 06",1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: Of the Ling family of Blaxhall, Suffolk. Part 6 - Other jobs. Working with Bob Hart, those that worked at the Maltings, Dad could turn his hand to anything. His siblings. Songs that brother Joe sings. His nickname (Spider).",4/24/1971,"Croydon, London, England, UK",,"Ling, George (speaker, male)","Summers, Keith (speaker, male interviewer)",,,,,,"Summers, Keith (recordist)",,00:01:37,,,,
C1002X0078XX-9700,"George Ling interview, part 08",1CDR0010648 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: Of the Ling family of Blaxhall, Suffolk. Part 8 - The bloke that couldnt sing, dance or recite but offered to fight the best man in the house there was blood flying all over the place. Eyes would be on any stranger that entered the pub at Blaxhall, Keith mentions being told at Framlingham that Blaxhall was the best place for songs but that he shouldnt go there. The Cockneys that used to come down to the area (for the hop picking).",4/24/1971,"Croydon, London, England, UK",,"Ling, George (speaker, male)","Summers, Keith (speaker, male interviewer)",,,,,,"Summers, Keith (recordist)",,00:01:28,,,,
C1002X0076XX-0300,Say you have to go,1CDR0007356 (copy of C1002/76),Keith Summers Collection,Item notes: a Jim Bridge song [?]. Performer notes: Fiddler from the Island of St Lucia. ,1985,"Kilburn, London, England, UK",,,,"McLawrence, Joseph, 1930- (fiddle)",,,,,"Summers, Keith (recordist)",,00:01:27,violin,,,
C1002X0080XX-1800,Sailor's hornpipe,1CDR0010650 (copy of C1002/80),Keith Summers Collection,Item notes: A variant on the usual tune. With background conversation and pub noises.. ,ca. 1971,"Unidentified folk club, Sussex [?], England, UK",,,,tambourine,"Tester, Scan, 1887-1972 (concetina, singer)",,,,"Summers, Keith (recordist)",,00:02:43,,concertina,,
C1002X0005XX-1000,The Light in the window [Lamplighting time in the valley],1CDR0007362 (copy of C1002/5),Keith Summers Collection,"Item notes: Also known as - Abraham Brown the sailor. Roud Folk Song Index No. 13304. Performer notes: Of Framlingham, Suffolk. Recording notes: Low recording level. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:29,,,,
C1002X0069XX-1300,The sailors way,1CDR0007353 (copy of C1002/69),Keith Summers Collection,"Item notes: Also known as - Abraham Brown the sailor. Roud Folk Song Index No. 8239. Performer notes: Sailor, Shanty singer, of Framlingham, Suffolk. Performance notes: Voice goes, gives up on the song. ",ca. 1975 to 1978,"Tilbury, Essex, England, UK",,,,"Mateer, Norman  1885- (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:00,,,,
C1002X0019XX-0700,Will the waggoner - hornpipe,1CDR0007366 (copy of C1002/19),Keith Summers Collection,"Item notes: 'an old gypsy hornpipe'. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",ca. 1975-02-09,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:10,violin,,,
C1002X0042XX-0300,The fly be on the turnip,1CDR0007374 (copy of C1002/42),Keith Summers Collection,"Item notes: An unusual version, to a faster tune than is usually associated with this song. Roud Folk Song Index No. 1376. ",5/14/1972,"Shelfanger, Norfolk, England, UK",,,,"Laurence, Ted  (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:07,,,,
C1002X0089XX-4300,The happy wanderer,1CDR0010662 (copy of C1002/89),Keith Summers Collection,Item notes: At the beginning Arthur sings the start of 'Isle of Capri'. Recording notes: Mains hum and drop-outs. ,1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Jay, Reg,  1915- (singer, male","Whatling, Walter ('Font') 1919- (melodeon)",,,,"Summers, Keith (recordist)",,00:00:18,,melodeon,,
C1002X0089XX-4200,unidentified tune,1CDR0010662 (copy of C1002/89),Keith Summers Collection,Item notes: At the beginning Reg Jay sings one line from 'Our goodman' (Roud Folk Song No. 114; Child Ballad No. 274). Recording notes: Mains hum. ,1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Jay, Reg,  1915- (singer, male","Whatling, Walter ('Font') 1919- (melodeon)",,,,"Summers, Keith (recordist)","Knights, Jimmy, 'Holy Jim',  1880 - (male)",00:00:40,,melodeon,,
C1002X0035XX-1300,The Thistle hornpipe (incomplete),1CDR0007372 (copy of C1002/35),Keith Summers Collection,"Item notes: Breaks off before the end. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",05/03/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:01:47,violin,,,
C1002X0053XX-0800,"Brief talk about being a trawlerman, and knowing the Seaman brothers",1CDR0007342 (copy of C1002/53),Keith Summers Collection,"Item notes: Brief talk about being a trawlerman, and knowing the Seaman brothers. ",1977,"Walberswick, Suffolk, England, UK",,,,"Cooper, 'Dinks',  1914-1988 1916- (speaker, male)",,,,,"Summers, Keith (recordist)",,00:03:24,,,,
C1002X0023XX-0800,Talk - The Eel's Foot,1CDR0007368 (copy of C1002/23),Keith Summers Collection,"Item notes: Brief talk about 'The Eel's Foot' and 'Crutter' Cook, pause. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,,,,,,"Summers, Keith (recordist)",,00:01:25,,,,
C1002X0004XX-0500,Melodeon tune (barndance),1CDR0007362 (copy of C1002/4),Keith Summers Collection,"Item notes: Brief talk before tune ""You don't want no sentimental stuff ?"". Performer notes: Of Framlingham, Suffolk. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (accordion)",,,,,"Summers, Keith (recordist)",,00:00:52,accordion,,,
C1002X0069XX-1100,Goodbye and adieu to you fair Spanish ladies,1CDR0007353 (copy of C1002/69),Keith Summers Collection,"Item notes: Capstan [?] shanty. Reherses the tune first. Roud Folk Song Index No. 687. Performer notes: Sailor, Shanty singer, of Framlingham, Suffolk. ",ca. 1975 to 1978,"Tilbury, Essex, England, UK",,,,"Mateer, Norman  1885- (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:05,,,,
C1002X0079XX-1300,Little brown jug story,1CDR0010649 (copy of C1002/79),Keith Summers Collection,Item notes: Charlie Bates tells a short story during which all the accompanying tunes are based on 'Little brown jug'. Roud Folk Song Index No. 725. ,ca. 1975,"Unidentified folk club, Suffolk [?], England, UK",,,,"Bate, Charlie, 1919-1977 (accordion, speaker, male)",,,,,"Summers, Keith (recordist)",,00:01:23,"accordion, speaker, male",,,
C1002X0011XX-0700,The False hearted knight,1CDR0007364 (copy of C1002/11),Keith Summers Collection,"Item notes: Child Ballad No. 4. Roud Folk Song Index No. 21. Followed by a retake of one of the Â verses. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",02/01/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:01:08,,,,
C1002X0030XX-0400,Enoch Brown [take 3],1CDR0007370 (copy of C1002/30),Keith Summers Collection,"Item notes: Complete version. Roud Folk Song Index No. 10724. Performer notes: From Bedfield, Suffolk. Age 85. Accompanies his songs with the violin in both bowed and plucked (Mandolin) style. ",4/25/1971,"Bedfield, Suffolk, England, UK",,,,"Nesling, Harkie, 1890 - (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:05,,,,
C1002X0090XX-1600,Waltz,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Composed by Bob Cann. Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:03:37,melodeon,,,
C1002X0090XX-1700,Jig,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Composed by Bob Cann. Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:02:33,melodeon,,,
C1002X0090XX-1800,Reel,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Composed by Bob Cann. Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:12,melodeon,,,
C1002X0091XX-0100,Unidentified Morris dance,1CDR0010665 (copy of C1002/91),Keith Summers Collection,Item notes: Contains the steps 'Trunkles'.. ,1974,"Oxfordshire, England, UK",,,,Bampton Morris Dancers,,Unidentified (fiddle),,,"Summers, Keith (recordist)",,00:01:53,,accordion,violin,
C1002X0002XX-0200,"Cyril Poacher and Geoff Ling interview, part 01",1CDR0007361 (copy of C1002/2),Keith Summers Collection,"Item notes: Cyril Poacher and Geoff Ling interviewed by Keith Summers. Interviewees notes: Geoff Ling is of the Ling family of Blaxhall, Suffolk. Cyril Poacher is of Stone Common, near Blaxhall, Suffolk. Recording notes: Low recording level (tape hiss). Cyril Poacher was born at Stone Common 1910. Moved to Thatch cottage (Blaxhall) 17th December 1946. Father Lewis Poacher sang ""now and again"". Cyril Poacher started work at the Red House farm at Blaxhall when 14. Mainly work with cattle, learnt songs from his grandfather William ""Cronie"" Ling, in the army (Gunner, Royal Artillery) all through the war, but not sent out of the Country.",11/16/1970,"Blaxhall, Suffolk, England, UK",,"Ling, Geoff, 1916- (speaker,male; interviewee); Poacher, Cyril,  1910-1999 (speaker, male)","Summers, Keith (speaker, male",,,,,,"Summers, Keith (recordist)",,00:01:23,,,,
C1002X0002XX-0400,"Cyril Poacher and Geoff Ling interview, part 03",1CDR0007361 (copy of C1002/2),Keith Summers Collection,"Item notes: Cyril Poacher and Geoff Ling interviewed by Keith Summers. Interviewees notes: Geoff Ling is of the Ling family of Blaxhall, Suffolk. Cyril Poacher is of Stone Common, near Blaxhall, Suffolk. Recording notes: Low recording level (tape hiss). Lists the sources of his songs, his grandfather, Alf Mosely, George Spencer, his mother Alice Poacher (nee Ling), Fred Ling, Bob Scarce, Aldeman Ling, Geoff Ling, his mother used to sing in The Ship, Eely Whent, Bob Plant. Needs time to think about Captain Ward.",11/16/1970,"Blaxhall, Suffolk, England, UK",,"Ling, Geoff, 1916- (speaker,male; interviewee); Poacher, Cyril,  1910-1999 (speaker, male)","Summers, Keith (speaker, male",,,,,,"Summers, Keith (recordist)",,00:00:40,,,,
C1002X0002XX-0300,"Cyril Poacher and Geoff Ling interview, part 02",1CDR0007361 (copy of C1002/2),Keith Summers Collection,"Item notes: Cyril Poacher and Geoff Ling interviewed by Keith Summers. Interviewees notes: Geoff Ling is of the Ling family of Blaxhall, Suffolk. Cyril Poacher is of Stone Common, near Blaxhall, Suffolk. Recording notes: Low recording level (tape hiss). Started singing in the pubs at 19. The singers in his youth, Wicketts being the chairman, Bob Scarce, Q.-""Who do you reckon was the best one [singer] out of the lot?"" A.-""Well, that take a bit of weighing up, don't it."" Johnny French, also Arthur Smith. What instruments? accordion, fiddle, step dancing competitions. Blaxhall and Tunstall didn't agree. jealousy over different wages. Kept to your own villages, unless you ran out of beer (when it was rationed during the War). They used to sing in Saxmunden. ""Sing, recite, or pay for a gallon, you pleased yourself"". Used to sing all night. Appeared twice on TV. Sung at Leiston folk club. Never seen the 1950's movie, sang The Nutting Girl 19 times for it.",11/16/1970,"Blaxhall, Suffolk, England, UK",,"Ling, Geoff, 1916- (speaker,male; interviewee); Poacher, Cyril,  1910-1999 (speaker, male)","Summers, Keith (speaker, male",,,,,,"Summers, Keith (recordist)",,00:02:32,,,,
C1002X0002XX-0500,"Cyril Poacher and Geoff Ling interview, part 04",1CDR0007361 (copy of C1002/2),Keith Summers Collection,"Item notes: Cyril Poacher and Geoff Ling interviewed by Keith Summers. Interviewees notes: Geoff Ling is of the Ling family of Blaxhall, Suffolk. Cyril Poacher is of Stone Common, near Blaxhall, Suffolk. Recording notes: Low recording level (tape hiss). The Smiths were the best step dancers, no one wore special shoes for dancing. He didn't learn any songs from the papers unlike Jimmie Knights. Need to hear a song about three times to pick it up, the older singers couldn't write them down. Bob Scarce knew a lot of songs. Cyril Poacher's, Geoff Ling's and Aldeman Ling's grandfathers were all brothers, and they used to rival each other, singing one against the other. Not so many singing now, can't get good order. The occasional village competitions. Didn't have time to sing at work. If you didn't go to the pubs' you wouldn't pick up the songs, song ownership, you didn't sing someone else's song but you learnt the songs that you heard the most.",11/16/1970,"Blaxhall, Suffolk, England, UK",,"Ling, Geoff, 1916- (speaker,male; interviewee); Poacher, Cyril,  1910-1999 (speaker, male)","Summers, Keith (speaker, male",,,,,,"Summers, Keith (recordist)",,00:01:44,,,,
C1002X0002XX-0600,"Cyril Poacher and Geoff Ling interview, part 05",1CDR0007361 (copy of C1002/2),Keith Summers Collection,"Item notes: Cyril Poacher and Geoff Ling interviewed by Keith Summers. Interviewees notes: Geoff Ling is of the Ling family of Blaxhall, Suffolk. Cyril Poacher is of Stone Common, near Blaxhall, Suffolk. Recording notes: Low recording level (tape hiss). You could sing someone else's song at another place, but not otherwise. Geoff Ling - ""we used to leave it to the, to the old boys' what sung them songs, just so that you could keep in good harmony, good company, that's what we called it."" having to sing the modern popular songs, slow singing songs. Frank Warner warning the audience that you can't rely on the tunes that he sings anymore. Jack Smith and Spencer Ling (good old 71) knowing sailing songs. Â Spencer would sing with his eyes shut. Some would sing a number of songs together -""sing on a reel"". ""Sing, Say or Pay"" dieing out since the War, something that Cyril won't put on tape. The Nutting Girl being the oldest song that he heard.",11/16/1970,"Blaxhall, Suffolk, England, UK",,"Ling, Geoff, 1916- (speaker,male; interviewee); Poacher, Cyril,  1910-1999 (speaker, male)","Summers, Keith (speaker, male",,,,,,"Summers, Keith (recordist)",,00:00:54,,,,
C1002X0077XX-1200,Untitled song: first line &quot;I'm bidding farewell to the land of my youth&quot;,1CDR0007357 (copy of C1002/77),Keith Summers Collection,Item notes: End section of refrain - The shores of America. With chorus. Recording notes: Over recorded. This track is affected by variable speed due to the original recording machine running down. ,ca. 1985-12,"London, England, UK",,,,"Unidentified (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:39,,,,
C1002X0023XX-1000,"I Sowed the seeds of love, part 1",1CDR0007368 (copy of C1002/23),Keith Summers Collection,"Item notes: Extra title on box: Stand you up. Roud Folk Song Index No. 3. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. Recording notes: Recording distorts at end as tape runs out. Song concluded on C1002/24 C1. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:22,,,,
C1002X0033XX-0400,Botany Bay,1CDR0007371 (copy of C1002/33),Keith Summers Collection,"Item notes: False start. Roud Folk Song Index No. 261. Laws Ballad No. L16a/L16b. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",4/26/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900- (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:34,,,,
C1002X0051XX-1100,Knees up Mother Brown,1CDR0007342 (copy of C1002/51),Keith Summers Collection,Item notes: Fifth and final section of a medley. ,ca. 1976 to 1978,"Saxmundham, Suffolk, England, UK",,,,"Woolnough, George  (melodeon)",,,,,"Summers, Keith (recordist)",,00:07:23,melodeon,,,
C1002X0089XX-3000,Nonsense song [Keemo-Kimo],1CDR0010662 (copy of C1002/89),Keith Summers Collection,"Item notes: First Â line: Oh once I went to bed it was no use, Sing-song-siddy-won't-you-ky-me -O. Roud Folk song Index No. 715. Recorded during a lively pub session. Recording notes: Mono. Drop-outs. ",1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,Arthur,,,,,"Summers, Keith (recordist)",,00:01:50,,,,
C1002X0008XX-0500,The recruiting Sergeant (The deserter),1CDR0007363 (copy of C1002/8),Keith Summers Collection,"Item notes: First line - As I was a walking down Newry one day, I met a recruiting Sergeant he was beating my way. False start. Roud Folk Song Index No. 493. Performer notes: Of the Ling family of Blaxhall, Suffolk. ",1/27/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:32,,,,
C1002X0014XX-0900,Native Land,1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Item notes: First line - Now my ancestors and brothers we are Englishmen, and an Englishman am I. Possibly the same song as 'My Father was an Englishman' [Alfred Williams MS No.Mi.643 (Bathe/Clissold Index)] as mentioned in Roud (No. 000). Preceded by conversation. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:03:30,,,,
C1002X0001XX-0900,There's a little brown road winding over a hill,1CDR0007361 (copy of C1002/1),Keith Summers Collection,"Item notes: First line - There's a little brown road winding over a hill. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Note on box - ? low batteries on record resulting in speeded up playback - if so, probably from C2 onwards. ",11/16/1970,"Blaxhall, Suffolk, England, UK",,,,"Ling, Geoff, 1916- (singer,male)",,,,,"Summers, Keith (recordist)",,00:02:41,,,,
C1002X0077XX-1100,Untitled song: first line &quot;My true love was a fisher lad&quot;,1CDR0007357 (copy of C1002/77),Keith Summers Collection,"Item notes: First line ""My true love was a fisher lad"". Recording notes: Over recorded. This track is affected by variable speed due to the original recording machine running down. ",ca. 1985-12,"London, England, UK",,,,"Unidentified (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:32,,,,
C1002X0046XX-1300,The Roving Gypsy,1CDR0007374 (copy of C1002/46),Keith Summers Collection,"Item notes: First line: I was born on the road when my mother was hawking pegs. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. Recording notes: Slight distortion as the tape comes to an end. ",1977,"Worlingworth, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:52,,,,
C1002X0043XX-0500,May I come home again,1CDR0007374 (copy of C1002/43),Keith Summers Collection,"Item notes: First line: In a grand house sat a man old and grey, reading a letter from one far away. One that old Bob used to sing'. ",1977,"Brundish, Suffolk, England, UK",,,,"List, Billy  (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:13,,,,
C1002X0021XX-0600,The Honest Irish lad,1CDR0007368 (copy of C1002/21),Keith Summers Collection,"Item notes: First line: Me name is Mike Malone and I come from County Clare. Despite different opening this is probably the same song as Roud Folk Song Index No. 4522. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:05:15,,,,
C1002X0084XX-0100,Strolling round the town,1CDR0010654 (copy of C1002/84),Keith Summers Collection,"Item notes: First line: My birthday comes but once a year and it's eveyones delight, to keep it up, to keep it up. Roud Folk Song Index No. 13322. ",ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Poacher, Cyril,  1910-1999 (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:50,,,,
